facility_code,facility_name,state,total_volume,betweenness_centrality,pagerank,clustering_coefficient,in_degree,out_degree,weighted_in_degree,weighted_out_degree,avg_out_delay,median_out_delay,pct_delayed_out,avg_in_delay,pct_delayed_in,norm_betweenness,norm_delay,norm_volume,bottleneck_score,bottleneck_rank,outgoing_breach_impact,incoming_breach_impact,total_breach_impact,sla_contribution_pct
IND474003AAA,Gwalior_HrihrNgr_I (Madhya Pradesh),Madhya Pradesh,83,0.007633,0.001491,0.1061,8,6,43,40,2.592,1.812,1.0,4.238,0.86,0.03463893010950313,1.0,0.04120603015075377,0.4227534880780771,32,40.0,37.0,77.0,0.33368001386722135
IND560058AAD,Bengaluru_Peenya_L (Karnataka),Karnataka,96,0.0,0.000989,1.0,3,1,60,36,5.296,2.5,0.889,3.274,0.733,0.0,0.889,0.04773869346733668,0.369921608040201,1102,32.0,44.0,76.0,0.3293465071936211
IND742102AAB,Berhampore_Central_I_2 (West Bengal),West Bengal,94,0.003194,0.001768,0.0278,5,5,53,41,3.888,1.93,0.756,4.111,0.83,0.014494529381600025,0.756,0.04673366834170854,0.32076845931699255,1263,31.0,44.0,75.0,0.3250130005200208
IND122001AAA,GGN_DPC (Haryana),Haryana,85,0.002022,0.001179,0.1333,2,5,59,26,2.547,1.5,0.692,4.298,0.966,0.009175935632309095,0.692,0.04221105527638191,0.2922160972726073,1313,18.0,57.0,75.0,0.3250130005200208
IND821115AAB,Sasaram_Central_I_2 (Bihar),Bihar,80,0.008061,0.00173,0.1389,6,5,48,32,3.076,2.25,0.969,4.724,0.917,0.03658121519883463,0.969,0.03969849246231156,0.41048391229834386,71,31.0,44.0,75.0,0.3250130005200208
IND362001AAA,Junagadh_DPC (Gujarat),Gujarat,73,4.1e-05,0.001853,0.0476,3,4,36,37,4.296,3.0,1.0,2.688,1.0,0.00018606002023969977,1.0,0.036180904522613064,0.41091008936285583,68,37.0,36.0,73.0,0.31634598717282025
IND422011AAD,Nashik_TgrniaRD_I (Maharashtra),Maharashtra,74,0.004834,0.000821,0.3,2,4,39,35,4.332,2.5,0.971,3.341,0.974,0.021936930191188014,0.971,0.036683417085427134,0.40598610418298453,192,34.0,38.0,72.0,0.31201248049922
IND444005AAB,Akola_Gaurkshn_I (Maharashtra),Maharashtra,72,0.004434,0.000852,0.1,3,3,46,26,2.126,1.873,1.0,2.204,1.0,0.020121710481532405,1.0,0.035678391959798994,0.41674003073239946,40,26.0,46.0,72.0,0.31201248049922
IND600076AAB,Chennai_Madhavaram_DPC (Tamil Nadu),Tamil Nadu,76,0.0,0.000851,1.0,2,2,58,18,2.187,2.214,0.889,2.495,0.966,0.0,0.889,0.03768844221105527,0.36690653266331663,1116,16.0,56.0,72.0,0.31201248049922
IND560002AAA,Bengaluru_KHRoad_I (Karnataka),Karnataka,110,0.0,0.000924,1.0,3,2,70,40,3.588,3.55,0.9,2.013,0.514,0.0,0.9,0.054773869346733665,0.37643216080402014,1062,36.0,36.0,72.0,0.31201248049922
